"Number of holes, nh","Web-post width, WP (mm)","Web opening diameter, Do (mm)",Ply 1 (ø),Ply 2 (ø),Ply 3 (ø),Ply 4 (ø),Ply 5 (ø),Ply 6 (ø),Ply 7 (ø),Ply 8 (ø),Critical Buckling Load (N),Critical Buckling Load (kN)
3,4.5,45,90,45,0,-45,-45,0,45,90,9511.818929,9.511818929
4,3.5,35,-45,0,45,90,90,45,0,-45,13329.49694,13.32949694
4,3.5,35,-45,0,90,45,45,90,0,-45,11623.80522,11.62380522
4,3.5,35,-45,45,0,90,90,0,45,-45,17110.11226,17.11011226
4,3.5,35,-45,45,90,0,0,90,45,-45,16950.84124,16.95084124
4,3.5,35,-45,90,0,45,45,0,90,-45,11929.02349,11.92902349
4,3.5,35,-45,90,45,0,0,45,90,-45,13580.6557,13.5806557
4,3.5,35,0,-45,45,90,90,45,-45,0,12721.72941,12.72172941
4,3.5,35,0,-45,90,45,45,90,-45,0,11316.33255,11.31633255
4,3.5,35,0,45,-45,90,90,-45,45,0,12720.85136,12.72085136
4,3.5,35,0,45,90,-45,-45,90,45,0,11315.12416,11.31512416
4,3.5,35,0,90,-45,45,45,-45,90,0,10419.36626,10.41936626
4,3.5,35,0,90,45,-45,-45,45,90,0,10419.18791,10.41918791
4,3.5,35,45,-45,0,90,90,0,-45,45,17109.98277,17.10998277
4,3.5,35,45,-45,90,0,0,90,-45,45,16951.00096,16.95100096
4,3.5,35,45,0,-45,90,90,-45,0,45,13328.91064,13.32891064
4,3.5,35,45,0,90,-45,-45,90,0,45,11623.00927,11.62300927
4,3.5,35,45,90,-45,0,0,-45,90,45,13580.97191,13.58097191
4,3.5,35,45,90,0,-45,-45,0,90,45,11929.00066,11.92900066
4,3.5,35,90,-45,0,45,45,0,-45,90,10339.70477,10.33970477
4,3.5,35,90,-45,45,0,0,45,-45,90,11301.46511,11.30146511
4,3.5,35,90,0,-45,45,45,-45,0,90,9441.154675,9.441154675
